component_id,name_ja,category,typical_location,detection_dom_hints,detection_text_hints,page_types_common,variants,a11y_notes,notes
layout.skip_link,スキップリンク,layout,header,"a[href^='#main'], a.skip, .skip-link","本文へ移動, メインへ, コンテンツへ",all,default,最初のフォーカス到達・可視,
layout.header_brand,ヘッダーブランド（自治体名/ロゴ）,layout,header,"header a[href='/'], header .logo a, header .brand","自治体名, 市役所, 県庁",all,logo|text|logo+text,画像はalt、リンクは説明的テキスト/aria-label,
layout.footer_policies,フッター（ポリシー群）,layout,footer,footer a,"個人情報, 著作権, アクセシビリティ, 免責",all,simple|grouped,リンク群は見出しで区切ると良い,
layout.language_switch,言語切替,utility,header,"a[hreflang], .lang, .language","English, 中文, 한국어, やさしい日本語",top|hub|article,dropdown|links,言語切替の操作可能性（キーボード・ラベル）,
layout.font_size,文字サイズ変更,utility,header,".font, .text-size, button[aria-label*='文字']","文字サイズ, 大, 中, 小",top|article,buttons|slider,状態表示（押下状態）と戻し手段,
layout.contrast_toggle,コントラスト/配色切替,utility,header,".contrast, .color, button[aria-label*='コントラスト']","コントラスト, 配色",top|article,toggle,状態の保存・説明,
nav.global,グローバルナビ,navigation,header,"nav ul>li>a, nav[aria-label*='グローバル'], .global-nav","くらし, 防災, 子育て, 観光, 事業者",all,horizontal|dropdown|mega|drawer,"nav landmark/aria-label, 現在地(aria-current)",
nav.hamburger,ハンバーガーメニュー,navigation,header,"button[aria-controls], .hamburger, .menu-toggle",メニュー,all,drawer|overlay,aria-expanded/controls、フォーカストラップ,
nav.breadcrumb,パンくず,navigation,main,"nav[aria-label*='パンくず'], .breadcrumb",ホーム,contact|service|hub|article,ol|ul|microdata,aria-current=page、簡潔,
nav.sidenav,サイドナビ（ローカルナビ）,navigation,sidebar,"aside nav, .side-nav, .local-nav","カテゴリ, 一覧",hub|service|article,tree|list,現在地表示・折りたたみの操作性,
nav.toc,ページ内目次,navigation,main,"nav[aria-label*='目次'], .toc, #toc",目次,service|article,sticky|inline,リンクテキスト=見出しと一致,
nav.sitemap,サイトマップ,navigation,footer,a[href*='sitemap'],サイトマップ,top|footer,page|modal,構造が深い場合に重要,
nav.audience,利用者別導線（住民/事業者/観光等）,navigation,top,".audience, .for-residents, .for-business","住民, 事業者, 観光, 移住",top|hub,tabs|cards|links,ラベル明確・タブの操作性,
nav.life_event,ライフイベントナビ,navigation,top,".life-event, .event-nav","妊娠, 出産, 引越し, 結婚, 死亡",top|hub,timeline|cards,対象者の迷子防止,
